,tweet_id,airline_sentiment,text,processed_text,label,prediction,probability_negative,Probability_neutral,probability_positive
11412,568135319876468736,negative,Yes but I will nvr fly w/ @USAirways I missed my con flight bc of a coffeemaker on FT1892 Couldn't see my father be4 they put him in a coma,yes nvr fly w miss con flight bc coffeemaker ft couldnt see father be put coma,-1,-1,0.8600575786342842,0.03467126560713481,0.10527115575858088
8442,568255102567518208,negative,@JetBlue Finally starting to come out. 40 minutes and no communication is not acceptable. Letting me down today.,finally start come out minute no communication not acceptable let today,-1,-1,0.9940964730342623,0.004652949249920232,0.001250577715817602
7704,569332001720967168,positive,@JetBlue @L_Burley11 -- the best!!!,burley best,1,1,0.20254122556072138,0.2898900236489889,0.5075687507902897
500,567735941846937600,neutral,@VirginAmerica still waiting to see  @Starryeyes_Dev_  😞,still wait see dev,0,-1,0.6774588414672104,0.17483574339012692,0.14770541514266286
4982,569585343084650496,positive,"@SouthwestAir stewardess really funny! Now I could get the gent next to me to use some headphones, this would be the perfect flight!",stewardess really funny could get gent next use headphone would perfect flight,1,0,0.2757573227156212,0.5966043794611975,0.12763829782318137
12447,570183052401508352,neutral,@AmericanAir that's what is on my ticket and my confirmation email. Anything else?,thats ticket confirmation email anything else,0,0,0.4897108705729252,0.4269736763516912,0.08331545307538356
5724,568778115956092928,negative,@SouthwestAir What's up with the new in-flight WiFi service? Super crappy user experience. Miss the old provider. :(,whats new inflight wifi service super crappy user experience miss old provider,-1,-1,0.9177557949653997,0.06754903495920658,0.014695170075393785
4188,567789435795861504,negative,@united customer service 👎,customer service,-1,-1,0.566939988927739,0.2959743537453237,0.13708565732693748
4891,569667805643034624,positive,“@SouthwestAir: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). http://t.co/QjKL4aBprG”,companion pas everyone deserve redcarpet treatment even mom,1,0,0.25098640648214565,0.6015380608884017,0.14747553262945273
2891,568845539405656064,positive,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.,thanks prompt response another hour enjoy vacation perhaps bug app still show,1,1,0.5197607419102183,0.043774614706477394,0.43646464338330404
12399,570202097041305600,negative,@AmericanAir @superyan I did not get any compensation after Cancelled Flighting my departure TWICE and made me missed my own wedding.,not get compensation cancel flighting departure twice make missed wedding,-1,-1,0.9295760279513249,0.0686221767840814,0.001801795264593788
130,569642845516275712,negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,fail customer check process not link tsa precheck,-1,-1,0.9045975341142006,0.09149783107498194,0.0039046348108173175
10215,569485181633089536,negative,@USAirways @AmericanAir  Also your on-hold message is trying to sell Valentines Day gifts.  Over a week Late Flight.  Sounds about right for USAir,also onhold message try sell valentine day gift week late flight sound right usair,-1,-1,0.8930737622126331,0.04653953655834441,0.06038670122902235
9132,570185347453329409,neutral,@USAirways I am a UK citizen. Is there a UK number I could try?,uk citizen uk number could try,0,0,0.10209386919924769,0.6689663983400134,0.228939732460739
13653,569769643864408064,negative,@AmericanAir @robinreda being stuck two days in the airport is not something pretty normal. I am positive you can find a plane to Europe,stick two day airport not something pretty normal positive find plane europe,-1,-1,0.8475679095009327,0.10126971578336863,0.05116237471569859
13959,569686145275072512,negative,@AmericanAir - where are my bags? Baggage claim C25 or C26 (flt# 959)?? I can see the plane from here? Why does it take 25 min???,bags baggage claim c c flt see plane here take min,-1,-1,0.9540356872799737,0.03953408064563603,0.006430232074390084
3267,568562804837490688,negative,@united wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space #frustrated,waste time baggage claim thanks dfw ground crew check bag without actually check space frustrate,-1,-1,0.9855571826375039,0.00607400284378515,0.008368814518710613
