,tweet_id,airline_sentiment,text,processed_text,label,prediction,probability_negative,Probability_neutral,probability_positive
11412,568135319876468736,negative,Yes but I will nvr fly w/ @USAirways I missed my con flight bc of a coffeemaker on FT1892 Couldn't see my father be4 they put him in a coma,yes nvr fly w miss con flight bc coffeemaker ft couldnt see father be put coma,-1,-1,0.9423728543912767,0.03037106337769904,0.027256082231024104
8442,568255102567518208,negative,@JetBlue Finally starting to come out. 40 minutes and no communication is not acceptable. Letting me down today.,finally start come out minute no communication not acceptable let today,-1,-1,0.9955788206144973,0.0031691732349822693,0.001252006150520136
7704,569332001720967168,positive,@JetBlue @L_Burley11 -- the best!!!,burley best,1,1,3.463666110985179e-07,3.3037981295112803e-07,0.999999323253576
500,567735941846937600,neutral,@VirginAmerica still waiting to see  @Starryeyes_Dev_  😞,still wait see dev,0,-1,0.9760313399970605,0.004626818992737598,0.019341841010201914
4982,569585343084650496,positive,"@SouthwestAir stewardess really funny! Now I could get the gent next to me to use some headphones, this would be the perfect flight!",stewardess really funny could get gent next use headphone would perfect flight,1,-1,0.5556097385069074,0.3469205483318367,0.0974697131612556
12447,570183052401508352,neutral,@AmericanAir that's what is on my ticket and my confirmation email. Anything else?,thats ticket confirmation email anything else,0,-1,0.7371886143550991,0.2359739955139749,0.026837390130926134
5724,568778115956092928,negative,@SouthwestAir What's up with the new in-flight WiFi service? Super crappy user experience. Miss the old provider. :(,whats new inflight wifi service super crappy user experience miss old provider,-1,-1,0.9324758810683378,0.055033094906563246,0.012491024025098994
4188,567789435795861504,negative,@united customer service 👎,customer service,-1,-1,0.9822991302379587,0.0003030172167124431,0.01739785254532877
4891,569667805643034624,positive,“@SouthwestAir: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). http://t.co/QjKL4aBprG”,companion pas everyone deserve redcarpet treatment even mom,1,0,0.0455703560030831,0.7780259337207177,0.17640371027619908
2891,568845539405656064,positive,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.,thanks prompt response another hour enjoy vacation perhaps bug app still show,1,1,0.061543296762002535,0.03317419960761355,0.905282503630384
